,match_event_id,location_x,location_y,remaining_min,power_of_shot,knockout_match,game_season,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,team_name,home/away,shot_id_number,lat/lng,type_of_shot,type_of_combined_shot,match_id,team_id
0,12.0,-157.0,0.0,10.0,1.0,0.0,0,22.0,35.0,0.0,0,0,0,0,0,2,0,0,0,20000012,1610612747
1,35.0,-101.0,135.0,7.0,1.0,0.0,0,45.0,36.0,1.0,1,0,1,0,0,3,0,1,0,20000012,1610612747
2,43.0,138.0,175.0,6.0,1.0,0.0,0,52.0,42.0,0.0,2,0,1,0,0,4,0,2,0,20000012,1610612747
3,155.0,0.0,0.0,6.0,2.0,0.0,0,19.0,20.0,1.0,3,1,2,0,0,5,0,2,1,20000012,1610612747
4,244.0,-145.0,-11.0,9.0,3.0,0.0,1,32.0,34.0,0.0,0,0,0,0,0,6,0,3,0,20000012,1610612747
5,251.0,0.0,0.0,8.0,2.51935914552737,0.0,0,52.0,20.0,1.0,3,1,2,0,0,7,0,4,2,20000012,1610612747
6,265.0,-65.0,0.0,6.0,3.0,0.0,0,12.0,32.0,1.0,0,2,0,0,0,9,0,4,0,20000012,1610612747
7,294.0,-33.0,0.0,3.0,3.0,0.0,0,36.0,32.0,0.0,3,2,0,0,0,10,0,5,0,20000012,1610612747
8,309.0,-94.0,238.0,1.0,3.0,0.0,0,56.0,45.0,0.0,1,3,3,0,0,11,0,6,0,20000012,1610612747
9,4.0,121.0,127.0,11.0,1.0,0.0,0,0.0,37.0,1.0,2,0,1,0,1,12,1,5,0,20000019,1610612747
10,27.0,-67.0,0.0,7.0,1.0,0.0,1,28.0,20.0,1.0,0,2,0,0,1,13,1,5,0,20000019,1610612747
11,66.0,-94.0,4.0,7.0,1.0,0.0,0,44.0,29.0,0.0,0,0,0,0,1,14,1,2,0,20000019,1610612747
12,80.0,-23.0,47.0,1.0,1.0,0.0,0,16.0,25.0,0.0,3,2,2,0,1,15,1,7,0,20000019,1610612747
13,86.0,0.0,192.0,0.0,1.0,0.0,0,28.0,40.0,0.0,3,0,1,0,1,16,1,8,0,20000019,1610612747
14,138.0,-117.0,226.0,8.0,2.0,0.0,0,50.0,45.0,1.0,1,1,2,0,1,18,1,9,0,20000019,1610612747
15,244.0,0.0,97.0,11.0,3.0,0.0,0,29.0,36.0,0.0,1,0,1,0,1,19,1,4,0,20000019,1610612747
16,255.0,3.0,144.0,10.0,3.0,0.0,0,8.0,34.0,0.0,3,0,0,0,1,21,1,10,0,20000019,1610612747
17,274.0,-16.0,110.0,7.0,3.0,0.0,0,57.0,31.0,1.0,3,2,0,0,1,23,1,5,0,20000019,1610612747
18,299.0,-109.0,150.0,5.0,3.0,0.0,1,47.0,38.0,1.0,1,0,1,0,1,24,1,5,0,20000019,1610612747
19,307.0,-46.0,63.0,5.0,3.0,0.0,0,11.0,27.0,1.0,3,2,2,0,1,25,1,11,0,20000019,1610612747
20,332.0,0.0,0.0,2.0,3.0,0.0,0,36.0,20.0,0.0,3,1,2,0,1,26,1,4,2,20000019,1610612747
21,345.0,0.0,196.0,2.0,3.0,0.0,0,4.0,40.0,0.0,3,0,1,0,1,27,1,12,0,20000019,1610612747
22,369.0,-183.0,186.0,0.0,3.0,0.0,0,30.0,46.0,0.0,1,3,3,0,1,28,1,13,0,20000019,1610612747
23,400.0,85.0,173.0,8.0,4.0,0.0,0,28.0,39.0,0.0,2,0,1,0,1,29,1,11,0,20000019,1610612747
24,429.0,3.0,87.0,6.0,4.0,0.0,0,22.0,28.0,0.0,3,2,0,0,1,30,1,14,0,20000019,1610612747
25,488.0,121.0,4.0,1.0,4.0,0.0,0,20.0,20.0,1.0,4,0,0,0,1,31,1,5,0,20000019,1610612747
26,499.0,127.0,34.0,0.0,4.0,0.0,1,30.0,33.0,0.0,4,0,0,0,1,32,1,15,0,20000019,1610612747
27,184.0,91.0,184.0,3.0,2.0,0.0,0,30.0,40.0,1.0,2,0,1,0,2,39,2,15,0,20000047,1610612747
28,202.0,-27.0,272.0,0.0,2.0,0.0,0,4.0,47.0,1.0,3,3,3,0,2,40,2,11,0,20000047,1610612747
29,212.0,-176.0,66.0,11.0,3.0,0.0,0,12.0,38.0,0.0,0,0,1,0,2,41,2,11,0,20000047,1610612747
30,219.0,7.0,4.0,10.0,3.0,0.0,0,13.0,20.0,1.0,3,1,2,0,2,42,2,11,0,20000047,1610612747
31,229.0,150.0,133.0,8.0,3.0,0.0,0,59.0,40.0,1.0,2,0,1,0,2,43,2,8,0,20000047,1610612747
32,233.0,49.0,15.0,8.0,3.0,0.0,1,29.0,25.0,0.0,3,2,2,0,2,44,2,11,0,20000047,1610612747
33,289.0,-4.0,4.0,3.0,3.0,0.0,0,21.0,20.0,1.0,3,1,2,0,2,46,2,11,0,20000047,1610612747
34,295.0,-4.0,0.0,2.0,3.0,0.0,1,55.0,44.0,0.0,3,1,2,0,2,47,2,2,1,20000047,1610612747
35,300.0,1.0,9.0,2.0,3.0,0.0,0,28.0,20.0,1.0,3,1,2,0,2,48,2,7,0,20000047,1610612747
36,398.0,121.0,120.0,4.0,4.0,0.0,0,55.0,37.0,1.0,2,0,1,0,2,49,2,2,0,20000047,1610612747
37,445.0,1.0,9.0,1.0,4.0,0.0,0,8.0,20.0,0.0,3,1,2,0,2,51,2,11,0,20000047,1610612747
38,445.0,-12.0,9.0,1.0,4.0,0.0,0,6.0,21.0,0.0,3,1,2,0,2,52,2,11,0,20000047,1610612747
39,7.0,24.0,70.0,10.0,1.0,0.0,0,33.0,27.0,0.0,3,2,2,0,3,53,1,1,0,20000049,1610612747
40,11.0,-189.0,-4.0,10.0,1.0,0.0,1,4.0,38.0,0.0,0,0,1,0,3,54,1,4,0,20000049,1610612747
41,80.0,-155.0,194.0,2.0,1.0,0.0,0,33.0,44.0,0.0,1,3,3,0,3,56,1,8,0,20000049,1610612747
42,105.0,1.0,228.0,2.0,2.0,0.0,0,26.0,42.0,1.0,3,0,1,0,3,57,1,16,0,20000049,1610612747
43,132.0,0.0,0.0,8.0,2.0,0.0,1,40.0,20.0,1.0,3,1,2,0,3,58,1,8,2,20000049,1610612747
44,190.0,0.0,0.0,4.0,2.0,0.0,0,5.0,20.0,1.0,3,1,2,0,3,59,1,11,1,20000049,1610612747
45,214.0,-33.0,108.0,2.0,2.0,0.0,0,2.0,31.0,0.0,3,2,0,0,3,61,1,4,0,20000049,1610612747
46,260.0,0.0,0.0,0.0,3.0,0.0,0,32.0,20.0,0.0,3,1,2,0,3,63,1,11,2,20000049,1610612747
47,353.0,0.0,21.0,0.0,3.0,0.0,0,37.0,25.0,0.0,3,2,2,0,3,64,1,11,2,20000049,1610612747
48,369.0,121.0,26.0,0.0,3.0,0.0,0,1.0,32.0,1.0,4,0,0,0,3,65,1,5,0,20000049,1610612747
49,28.0,231.0,57.0,8.0,1.0,0.0,0,17.0,43.0,0.0,4,4,3,0,4,68,3,17,0,20000058,1610612747
50,33.0,0.0,0.0,7.0,1.0,0.0,0,53.0,20.0,1.0,3,1,2,0,4,69,3,2,0,20000058,1610612747
51,41.0,0.0,0.0,7.0,1.0,0.0,0,1.0,20.0,1.0,3,1,2,0,4,70,3,5,1,20000058,1610612747
52,131.0,0.0,0.0,7.0,2.0,0.0,0,56.0,20.0,1.0,3,1,2,0,4,73,3,15,2,20000058,1610612747
53,186.0,51.0,57.0,2.0,2.0,0.0,0,40.0,27.0,0.0,3,1,2,0,4,74,3,18,0,20000058,1610612747
54,201.0,167.0,190.0,0.0,2.0,0.0,0,28.0,45.0,0.0,2,3,3,0,4,75,3,19,0,20000058,1610612747
55,225.0,16.0,57.0,9.0,3.0,0.0,0,10.0,37.0,0.0,3,2,2,0,4,77,3,19,0,20000058,1610612747
56,236.0,-84.0,110.0,7.0,3.0,0.0,0,24.0,33.0,0.0,0,0,0,0,4,78,3,4,0,20000058,1610612747
57,306.0,-71.0,42.0,0.0,3.0,0.0,0,1.0,28.0,0.0,0,2,0,0,4,79,3,20,0,20000058,1610612747
58,368.0,30.0,133.0,5.0,4.0,0.0,0,1.0,33.0,1.0,3,2,0,0,4,81,3,10,0,20000058,1610612747
59,425.0,1.0,156.0,0.0,4.0,0.0,0,46.0,35.0,0.0,3,0,0,0,4,82,3,4,0,20000058,1610612747
60,2.0,132.0,211.0,11.0,1.0,0.0,0,41.0,44.0,0.0,2,3,3,0,5,83,4,8,0,20000068,1610612747
61,11.0,-8.0,4.0,11.0,1.0,0.0,0,59.0,20.0,0.0,3,1,2,0,5,84,4,7,0,20000068,1610612747
62,44.0,-29.0,188.0,6.0,1.0,0.0,0,54.0,39.0,1.0,3,0,1,0,5,88,4,21,0,20000068,1610612747
63,70.0,140.0,76.0,2.0,1.0,0.0,0,24.0,35.0,1.0,4,0,0,0,5,89,4,2,0,20000068,1610612747
64,74.0,140.0,0.0,1.0,1.0,0.0,0,48.0,34.0,1.0,4,0,0,0,5,90,4,8,0,20000068,1610612747
65,74.0,-1.0,156.0,1.0,1.0,0.0,0,25.0,35.0,1.0,3,0,0,0,5,91,4,11,0,20000068,1610612747
66,101.0,110.0,76.0,0.0,2.0,0.0,0,57.0,33.0,0.0,4,2,0,0,5,93,4,4,0,20000068,1610612747
67,115.0,132.0,87.0,9.0,2.0,0.0,0,37.0,35.0,0.0,4,2,0,0,5,94,4,22,0,20000068,1610612747
68,184.0,-58.0,251.0,3.0,2.0,0.0,0,50.0,45.0,1.0,3,3,3,0,5,96,4,8,0,20000068,1610612747
69,215.0,-193.0,150.0,0.0,2.0,0.0,0,28.0,44.0,0.0,1,3,3,0,5,98,4,23,0,20000068,1610612747
70,217.0,140.0,0.0,0.0,2.51935914552737,0.0,0,48.0,34.0,1.0,4,0,0,0,5,99,4,2,0,20000068,1610612747
71,228.0,0.0,9.0,11.0,3.0,0.0,0,28.0,24.0,0.0,3,2,2,0,5,100,4,4,0,20000068,1610612747
72,241.0,24.0,150.0,9.0,3.0,0.0,0,20.0,35.0,0.0,3,0,0,0,5,101,4,18,0,20000068,1610612747
73,253.0,-1.0,0.0,7.0,3.0,0.0,0,53.0,20.0,1.0,3,1,2,0,5,102,4,4,1,20000068,1610612747
74,262.0,119.0,133.0,6.0,3.0,0.0,0,40.0,37.0,1.0,2,0,1,0,5,103,4,13,0,20000068,1610612747
75,300.0,119.0,19.0,3.0,3.0,0.0,0,0.0,32.0,0.0,4,0,1,0,5,105,4,8,0,20000068,1610612747
76,314.0,-193.0,42.0,0.0,3.0,0.0,0,48.0,39.0,0.0,0,0,1,0,5,106,4,8,0,20000068,1610612747
77,322.0,-166.0,55.0,0.0,3.0,0.0,0,21.0,37.0,0.0,0,0,1,0,5,107,4,4,0,20000068,1610612747
78,339.0,24.0,116.0,10.0,4.0,0.0,0,39.0,31.0,0.0,3,2,0,0,5,108,4,11,0,20000068,1610612747
79,365.0,-65.0,156.0,7.0,4.0,0.0,0,8.0,36.0,0.0,1,0,1,0,5,109,4,15,0,20000068,1610612747
80,370.0,-166.0,26.0,6.0,4.0,0.0,0,25.0,36.0,1.0,0,0,1,0,5,110,4,8,0,20000068,1610612747
81,379.0,-58.0,76.0,5.0,4.0,0.0,0,14.0,29.0,0.0,0,2,0,0,5,111,4,11,0,20000068,1610612747
82,395.0,-37.0,70.0,3.0,4.0,0.0,0,38.0,27.0,0.0,3,2,2,0,5,112,4,15,0,20000068,1610612747
83,4.0,-94.0,188.0,11.0,1.0,0.0,1,9.0,41.0,0.0,1,0,1,0,6,114,1,3,0,20000098,1610612747
84,11.0,0.0,0.0,10.0,1.0,0.0,0,17.0,20.0,0.0,3,1,2,0,6,115,1,2,0,20000098,1610612747
85,19.0,0.0,0.0,10.0,1.0,0.0,0,23.0,20.0,0.0,3,1,2,0,6,116,1,24,0,20000098,1610612747
86,20.0,0.0,0.0,9.0,1.0,0.0,0,21.0,20.0,0.0,3,1,2,0,6,117,1,11,3,20000098,1610612747
87,111.0,0.0,0.0,3.0,1.0,0.0,1,2.0,20.0,1.0,3,1,2,0,6,118,1,5,1,20000098,1610612747
88,130.0,0.0,0.0,0.0,1.0,0.0,0,44.0,20.0,1.0,3,1,2,0,6,119,1,15,2,20000098,1610612747
89,135.0,85.0,141.0,0.0,1.0,0.0,0,21.0,36.0,0.0,2,0,1,0,6,120,1,4,0,20000098,1610612747
90,170.0,0.0,158.0,8.0,2.0,0.0,0,50.0,38.0,1.0,1,0,1,0,6,121,1,4,0,20000098,1610612747
91,236.0,0.0,0.0,0.0,2.0,0.0,1,28.0,20.0,1.0,3,1,2,0,6,124,1,13,0,20000098,1610612747
92,240.0,1.0,276.0,0.0,2.0,0.0,0,4.0,47.0,1.0,3,3,3,0,6,125,1,11,0,20000098,1610612747
93,274.0,155.0,-8.0,8.0,3.0,0.0,0,38.0,35.0,1.0,4,0,0,0,6,127,1,8,0,20000098,1610612747
94,307.0,-155.0,13.0,5.0,3.0,0.0,0,18.0,35.0,1.0,0,0,0,0,6,128,1,2,0,20000098,1610612747
95,309.0,-84.0,133.0,4.0,3.0,0.0,0,34.0,35.0,0.0,0,0,0,0,6,129,1,14,0,20000098,1610612747
96,317.0,-178.0,-8.0,3.0,3.0,0.0,0,51.0,37.0,0.0,0,0,1,0,6,130,1,7,0,20000098,1610612747
97,320.0,16.0,89.0,3.0,3.0,0.0,0,40.0,29.0,0.0,3,2,0,0,6,131,1,17,0,20000098,1610612747
98,322.0,-48.0,106.0,3.0,3.0,0.0,0,33.0,31.0,1.0,3,2,0,0,6,132,1,2,0,20000098,1610612747
99,362.0,-119.0,133.0,0.0,3.0,0.0,1,14.0,37.0,0.0,1,0,1,0,6,135,1,11,0,20000098,1610612747
100,381.0,9.0,40.0,10.0,4.0,0.0,0,52.0,24.0,0.0,3,2,2,0,6,136,1,11,0,20000098,1610612747
101,426.0,-84.0,82.0,6.0,4.0,0.0,1,34.0,31.0,0.0,0,0,0,0,6,137,1,4,0,20000098,1610612747
102,444.0,9.0,59.0,4.0,4.0,0.0,0,57.0,25.0,0.0,3,2,2,0,6,138,1,3,0,20000098,1610612747
103,444.0,0.0,0.0,3.0,4.0,0.0,0,28.0,20.0,1.0,3,1,2,0,6,139,1,8,1,20000098,1610612747
104,488.0,9.0,59.0,1.0,4.0,0.0,1,38.0,25.0,1.0,3,2,2,0,6,140,1,5,0,20000098,1610612747
105,493.0,0.0,0.0,1.0,4.0,0.0,1,3.0,20.0,0.0,3,1,2,0,6,142,1,4,3,20000098,1610612747
106,34.0,0.0,0.0,7.0,1.0,0.0,0,43.0,20.0,0.0,3,1,2,0,7,143,1,2,0,20000108,1610612747
107,77.0,0.0,0.0,3.0,1.0,0.0,0,8.0,20.0,1.0,3,1,2,0,7,145,1,4,1,20000108,1610612747
108,86.0,129.0,-4.0,2.0,1.0,0.0,0,25.0,32.0,1.0,4,0,0,0,7,146,1,4,0,20000108,1610612747
109,93.0,-98.0,97.0,0.0,1.0,0.0,0,48.0,33.0,1.0,0,0,0,0,7,147,1,18,0,20000108,1610612747
110,108.0,167.0,78.0,11.0,2.0,0.0,0,16.0,38.0,0.0,4,0,1,0,7,148,1,25,0,20000108,1610612747
111,118.0,108.0,249.0,10.0,2.0,0.0,0,19.0,47.0,0.0,2,3,3,0,7,149,1,11,0,20000108,1610612747
112,129.0,100.0,175.0,9.0,2.0,0.0,0,7.0,40.0,1.0,2,0,1,0,7,151,1,8,0,20000108,1610612747
113,199.0,0.0,0.0,1.0,2.0,0.0,1,54.0,20.0,0.0,3,1,2,0,7,154,1,11,0,20000108,1610612747
114,219.0,0.0,0.0,1.0,2.0,0.0,0,28.0,20.0,0.0,3,1,2,0,7,155,1,2,0,20000108,1610612747
115,243.0,115.0,169.0,10.0,3.0,0.0,0,23.0,40.0,0.0,2,0,1,0,7,157,1,4,0,20000108,1610612747
116,303.0,1.0,72.0,5.0,3.0,0.0,0,23.0,27.0,0.0,3,2,2,0,7,158,1,2,0,20000108,1610612747
117,352.0,0.0,0.0,0.0,3.0,0.0,0,37.0,20.0,1.0,3,1,2,0,7,160,1,26,0,20000108,1610612747
